epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.299,0.93122,3.44916,1.18049,0.69638,0.54808,0.63547,0.50465,0.79203,1.57894,1.10963,0.00333006,0.00333006,0.00333006
2,320.453,0.95358,1.86913,1.17769,0.76399,0.75207,0.80323,0.62938,0.79846,1.26176,1.09161,0.00653146,0.00653146,0.00653146
3,476.361,1.02555,1.71822,1.20441,0.73972,0.38129,0.45553,0.32209,1.1659,3.96215,1.38218,0.00960086,0.00960086,0.00960086
4,631.622,1.06145,1.58323,1.2163,0.84938,0.74489,0.83478,0.63974,0.86496,0.99869,1.15286,0.009406,0.009406,0.009406
5,786.844,0.99372,1.30453,1.17391,0.84958,0.80717,0.87558,0.69423,0.7914,0.87674,1.07909,0.009208,0.009208,0.009208
6,942.047,0.94421,1.09475,1.13767,0.86368,0.83583,0.89853,0.71859,0.76603,0.76648,1.05172,0.00901,0.00901,0.00901
7,1097.25,0.91062,0.98228,1.1234,0.89773,0.86341,0.92642,0.75274,0.72554,0.65653,1.03128,0.008812,0.008812,0.008812
8,1252.44,0.88678,0.91549,1.11205,0.90851,0.88108,0.93001,0.76791,0.68962,0.60806,1.00866,0.008614,0.008614,0.008614
9,1407.63,0.86998,0.8597,1.10087,0.92555,0.89025,0.93873,0.77441,0.68898,0.57709,1.00696,0.008416,0.008416,0.008416
10,1562.89,0.8526,0.81346,1.09107,0.9284,0.88115,0.93702,0.78382,0.67018,0.54996,0.99736,0.008218,0.008218,0.008218
11,1718.14,0.82943,0.77901,1.08074,0.93815,0.90555,0.95014,0.79781,0.65717,0.51748,0.9937,0.00802,0.00802,0.00802
12,1873.33,0.8215,0.73858,1.0727,0.91011,0.9164,0.94831,0.79886,0.6484,0.50554,0.98361,0.007822,0.007822,0.007822
13,2028.46,0.80608,0.72004,1.06354,0.94095,0.90879,0.95076,0.80264,0.63895,0.47749,0.97181,0.007624,0.007624,0.007624
14,2183.58,0.80119,0.70111,1.0598,0.94581,0.90531,0.9532,0.8121,0.62448,0.47257,0.96621,0.007426,0.007426,0.007426
15,2338.64,0.78932,0.68796,1.05559,0.94476,0.91347,0.95755,0.81726,0.61788,0.44896,0.9642,0.007228,0.007228,0.007228
16,2493.95,0.77993,0.66216,1.05073,0.93253,0.93373,0.96262,0.82232,0.61018,0.42311,0.95668,0.00703,0.00703,0.00703
17,2649.08,0.77144,0.64751,1.04851,0.94339,0.92046,0.95995,0.8237,0.60408,0.42488,0.95571,0.006832,0.006832,0.006832
18,2813.3,0.75929,0.62496,1.03576,0.93918,0.91328,0.95582,0.82245,0.6012,0.42999,0.95488,0.006634,0.006634,0.006634
19,2977.4,0.75815,0.61724,1.039,0.94053,0.92446,0.9623,0.83467,0.58568,0.40735,0.93924,0.006436,0.006436,0.006436
20,3142.77,0.74704,0.60543,1.02997,0.94458,0.93061,0.9636,0.83557,0.58012,0.40524,0.93209,0.006238,0.006238,0.006238
21,3308.66,0.73424,0.59323,1.02098,0.94359,0.94138,0.96598,0.84275,0.56765,0.38398,0.92378,0.00604,0.00604,0.00604
22,3470.49,0.73471,0.58472,1.01963,0.95602,0.92705,0.96637,0.8429,0.56215,0.37524,0.92748,0.005842,0.005842,0.005842
23,3636.62,0.73318,0.57254,1.01743,0.94088,0.94437,0.96948,0.84588,0.55632,0.36657,0.92031,0.005644,0.005644,0.005644
24,3805.15,0.71831,0.56059,1.01082,0.93685,0.93493,0.96662,0.84473,0.55942,0.37599,0.92543,0.005446,0.005446,0.005446
25,3973.8,0.71822,0.55015,1.01005,0.94228,0.93905,0.96568,0.84795,0.55549,0.36862,0.91816,0.005248,0.005248,0.005248
26,4142.21,0.71432,0.54591,1.00728,0.94593,0.94364,0.97104,0.85045,0.55364,0.35879,0.91788,0.00505,0.00505,0.00505
27,4310.67,0.70814,0.53609,1.00524,0.93593,0.95051,0.97132,0.85072,0.55072,0.3519,0.91536,0.004852,0.004852,0.004852
28,4476.78,0.69531,0.52412,0.99973,0.9516,0.93982,0.97123,0.85342,0.54272,0.34955,0.91419,0.004654,0.004654,0.004654
29,4639.91,0.68968,0.5146,0.99599,0.93655,0.94059,0.9692,0.8531,0.53917,0.34596,0.90821,0.004456,0.004456,0.004456
30,4816.23,0.6889,0.50854,0.9961,0.94041,0.94399,0.96913,0.85607,0.53823,0.34609,0.91082,0.004258,0.004258,0.004258
31,4992.27,0.69086,0.51028,0.99709,0.94565,0.94495,0.97332,0.85877,0.53433,0.33802,0.90756,0.00406,0.00406,0.00406
32,5167.51,0.68248,0.49966,0.99424,0.95563,0.94348,0.97538,0.8595,0.53385,0.33237,0.90956,0.003862,0.003862,0.003862
33,5343.77,0.67907,0.49098,0.99001,0.96548,0.93548,0.97566,0.86323,0.52582,0.32256,0.90317,0.003664,0.003664,0.003664
34,5519.12,0.67214,0.48453,0.98831,0.96344,0.9332,0.97394,0.8642,0.52275,0.32616,0.90444,0.003466,0.003466,0.003466
35,5694.97,0.66863,0.47634,0.98575,0.94992,0.94562,0.97729,0.86781,0.5233,0.32484,0.90247,0.003268,0.003268,0.003268
36,5865.25,0.66265,0.47398,0.98503,0.95665,0.94665,0.97678,0.86922,0.52341,0.31826,0.90199,0.00307,0.00307,0.00307
37,6028.23,0.65959,0.46377,0.97875,0.95954,0.95135,0.97823,0.87028,0.51747,0.31422,0.8979,0.002872,0.002872,0.002872
38,6189.74,0.6547,0.46001,0.97751,0.9529,0.95505,0.97858,0.86853,0.51828,0.31681,0.89733,0.002674,0.002674,0.002674
39,6351.19,0.65109,0.45527,0.97708,0.9611,0.9512,0.9786,0.86985,0.51925,0.31102,0.89782,0.002476,0.002476,0.002476
40,6512.53,0.64087,0.44472,0.97409,0.95284,0.95463,0.97646,0.86981,0.5189,0.31362,0.89802,0.002278,0.002278,0.002278
41,6676.37,0.56693,0.36194,0.92699,0.95165,0.95214,0.97623,0.86658,0.51688,0.31707,0.89697,0.00208,0.00208,0.00208
42,6833.04,0.55992,0.35067,0.92177,0.95731,0.96018,0.97816,0.86928,0.5187,0.31261,0.89727,0.001882,0.001882,0.001882
43,6987.62,0.55314,0.3416,0.91816,0.95787,0.95811,0.97882,0.87099,0.51663,0.3077,0.89552,0.001684,0.001684,0.001684
44,7142.28,0.54698,0.33567,0.91559,0.95495,0.95878,0.97862,0.87151,0.51247,0.30531,0.89454,0.001486,0.001486,0.001486
45,7296.99,0.53787,0.32624,0.91082,0.96014,0.95034,0.9781,0.87288,0.50941,0.30622,0.8924,0.001288,0.001288,0.001288
46,7451.62,0.53562,0.3232,0.90888,0.95958,0.95293,0.97821,0.874,0.50902,0.30415,0.8915,0.00109,0.00109,0.00109
47,7606.28,0.52715,0.31399,0.90695,0.95335,0.95977,0.97818,0.87533,0.50851,0.30326,0.89112,0.000892,0.000892,0.000892
48,7760.95,0.52086,0.30872,0.90127,0.95228,0.96114,0.9784,0.87615,0.50863,0.30204,0.89086,0.000694,0.000694,0.000694
49,7915.78,0.51816,0.30287,0.89896,0.95447,0.96034,0.9785,0.87592,0.50909,0.30096,0.89075,0.000496,0.000496,0.000496
50,8070.39,0.51094,0.29825,0.89475,0.95467,0.96105,0.97831,0.87568,0.50779,0.3,0.88954,0.000298,0.000298,0.000298
